,Zone,Lat,Lng
0,Bronxdale,40.8506558,-73.86652409999999
1,Eastchester,40.959560499999995,-73.8095574
2,Elmhurst,41.8994744,-87.9403418
3,North Corona,40.7502698,-73.8624893
4,Crown Heights North,35.512170000000005,-97.52914
5,Crown Heights South,40.6681032,-73.94479940000001
6,Prospect-Lefferts Gardens,40.6590448,-73.9506774
7,Prospect-Lefferts Gardens,40.6590448,-73.9506774
8,Windsor Terrace,40.6539346,-73.9756567
9,East Flatbush/Farragut,40.638525099999995,-73.9260253
10,Prospect-Lefferts Gardens,40.6590448,-73.9506774
11,Corona,33.8752935,-117.56643840000001
12,East Elmhurst,40.7737505,-73.8713099
13,North Corona,40.7502698,-73.8624893
14,Crown Heights North,35.512170000000005,-97.52914
15,Crown Heights South,40.6681032,-73.94479940000001
16,Howard Beach,40.6571222,-73.84299890000001
17,Prospect Heights,40.6774196,-73.9668408
18,Bronxdale,40.8506558,-73.86652409999999
19,Co-Op City,40.8738889,-73.8294444
20,Eastchester,40.959560499999995,-73.8095574
21,Williamsbridge/Olinville,40.8774767,-73.8664402
22,Woodlawn/Wakefield,40.895361,-73.862916
23,Jackson Heights,40.7556818,-73.88307009999998
24,Jackson Heights,40.7556818,-73.88307009999998
25,Flatbush/Ditmas Park,40.6409217,-73.96243270000001
26,Midwood,40.619062899999996,-73.9653715
27,Park Slope,40.6681038,-73.9805817
28,Prospect-Lefferts Gardens,40.6590448,-73.9506774
29,Bushwick North,40.6944282,-73.9212858
30,Ocean Hill,33.1600272,-117.2644629
31,East Elmhurst,40.7737505,-73.8713099
32,Elmhurst,41.8994744,-87.9403418
33,Sunnyside,36.732844,-119.7170466
34,Jackson Heights,40.7556818,-73.88307009999998
35,Bloomfield/Emerson Hill,42.60436370000001,-83.27561290000001
36,Port Richmond,39.9855402,-75.10372120000001
37,Saint George/New Brighton,40.6427017,-74.07994690000001
38,Astoria,40.764357399999994,-73.9234619
39,Bayside,43.1805645,-87.9006421
40,Bedford Park,41.7641723,-87.78125240000001
41,Belmont,36.132898100000006,-86.7940699
42,Boerum Hill,40.6848689,-73.98447220000001
43,Borough Park,40.6323009,-73.9888797
44,Briarwood/Jamaica Hills,40.714341,-73.802722
45,Brownsville,25.9017472,-97.4974838
46,Bushwick North,40.6944282,-73.9212858
47,Bushwick South,40.6944282,-73.9212858
48,Canarsie,40.6402325,-73.90605790000001
49,Central Harlem North,40.8142585,-73.9426617
50,Clinton East,38.7651145,-76.8983059
51,Clinton Hill,40.6893665,-73.9639021
52,Clinton West,41.487875,-81.71094699999999
53,Cobble Hill,40.686536,-73.9962255
54,Coney Island,40.5755438,-73.9707016
55,Crotona Park East,40.836637700000004,-73.89223879999999
56,Crown Heights North,35.512170000000005,-97.52914
57,Downtown Brooklyn/MetroTech,40.6931322,-73.986496
58,East Concourse/Concourse Village,40.8461819,-73.9095033
59,East Elmhurst,40.7737505,-73.8713099
60,East Flatbush/Farragut,40.638525099999995,-73.9260253
61,East Flatbush/Remsen Village,40.6468201,-73.9133089
62,East Harlem South,40.7957399,-73.9389213
63,East New York,40.656831200000006,-73.88307009999998
64,East Village,40.7264773,-73.9815337
65,East Williamsburg,40.715876200000004,-73.9330429
66,Elmhurst,41.8994744,-87.9403418
67,Flushing,40.767498700000004,-73.833079
68,Fordham South,40.8620404,-73.8856987
69,Fresh Meadows,40.7335179,-73.78014470000001
70,Gravesend,40.5910166,-73.977126
71,Greenpoint,40.7245448,-73.9418603
72,Greenwich Village South,40.7335719,-74.0027418
73,Hamilton Heights,40.8259597,-73.9496079
74,Inwood,40.867714500000005,-73.92120190000001
75,Jackson Heights,40.7556818,-73.88307009999998
76,Jamaica,18.109581,-77.297508
77,JFK Airport,40.6413111,-73.77813909999999
78,Kingsbridge Heights,40.872321899999996,-73.9006916
79,Lincoln Square West,40.7733055,-73.98145840000001
80,Lower East Side,40.715033,-73.98427240000001
81,Madison,43.07305170000001,-89.4012302
82,Marine Park/Mill Basin,40.6188928,-73.9246109
83,Morningside Heights,40.8089564,-73.96243270000001
84,Mott Haven/Port Morris,40.809106799999995,-73.9228881
85,Murray Hill-Queens,40.7665245,-73.8036752
86,Norwood,42.1943909,-71.19896949999999
87,Ozone Park,40.67940720000001,-73.85072790000001
88,Park Slope,40.6681038,-73.9805817
89,Pelham Bay Park,40.8505689,-73.8210182
90,Pelham Parkway,40.8553279,-73.8639594
91,Prospect-Lefferts Gardens,40.6590448,-73.9506774
92,Red Hook,40.677280200000006,-74.00944709999999
93,Ridgewood,40.9792645,-74.11653129999999
94,Saint George/New Brighton,40.6427017,-74.07994690000001
95,Schuylerville/Edgewater Park,40.8224661,-73.8110122
96,Sheepshead Bay,40.5975847,-73.9536163
97,South Williamsburg,40.70856920000001,-73.9701967
98,Spuyten Duyvil/Kingsbridge,40.87941970000001,-73.9074286
99,Steinway,40.780043799999994,-73.8996985
100,Stuyvesant Heights,42.3880474,-73.775696
101,Sunnyside,36.732844,-119.7170466
102,Sunset Park West,40.645532,-74.01238509999999
103,Times Sq/Theatre District,40.759011,-73.98447220000001
104,Two Bridges/Seward Park,40.7157874,-73.98920109999999
105,Union Sq,40.7358633,-73.9910835
106,University Heights/Morris Heights,40.8523957,-73.9135172
107,Upper East Side North,40.7735649,-73.9565551
108,Upper West Side North,40.7870106,-73.9753676
109,Washington Heights South,40.84170820000001,-73.9393554
110,West Chelsea/Hudson Yards,40.752559000000005,-74.002736
111,West Farms/Bronx River,40.8430609,-73.8816001
112,Williamsburg (North Side),40.7162857,-73.95838979999999
113,Williamsburg (South Side),40.71305,-73.957037
114,Alphabet City,40.725842799999995,-73.9774916
115,Astoria,40.764357399999994,-73.9234619
116,Auburndale,28.065297499999996,-81.7886906
117,Bath Beach,40.60454910000001,-74.004306
118,Battery Park City,40.7115786,-74.0158441
119,Bay Ridge,40.6261638,-74.0329499
120,Bedford,42.4906231,-71.27600890000001
121,Bedford Park,41.7641723,-87.78125240000001
122,Belmont,36.132898100000006,-86.7940699
123,Bensonhurst East,40.6112691,-73.9976946
124,Bensonhurst West,40.6112691,-73.9976946
125,Bloomingdale,41.957528499999995,-88.0809036
126,Boerum Hill,40.6848689,-73.98447220000001
127,Briarwood/Jamaica Hills,40.714341,-73.802722
128,Bronxdale,40.8506558,-73.86652409999999
129,Brooklyn Heights,40.6960105,-73.9932872
130,Brownsville,25.9017472,-97.4974838
131,Bushwick North,40.6944282,-73.9212858
132,Bushwick South,40.6944282,-73.9212858
133,Canarsie,40.6402325,-73.90605790000001
134,Carroll Gardens,40.6795331,-73.9991637
135,Central Harlem,48.5351455,-108.79122179999999
136,Central Harlem North,40.8142585,-73.9426617
137,Chinatown,37.794137799999994,-122.40779140000001
138,Clinton East,38.7651145,-76.8983059
139,Clinton Hill,40.6893665,-73.9639021
140,Clinton West,41.487875,-81.71094699999999
141,Co-Op City,40.8738889,-73.8294444
142,Cobble Hill,40.686536,-73.9962255
143,Coney Island,40.5755438,-73.9707016
144,Corona,33.8752935,-117.56643840000001
145,Crown Heights North,35.512170000000005,-97.52914
146,Crown Heights South,40.6681032,-73.94479940000001
147,Cypress Hills,40.683611799999994,-73.8801301
148,Downtown Brooklyn/MetroTech,40.6931322,-73.986496
149,DUMBO/Vinegar Hill,40.702754999999996,-73.98128840000001
150,Dyker Heights,40.6214932,-74.009584
151,East Chelsea,42.3180919,-84.02050290000001
152,East Concourse/Concourse Village,40.8461819,-73.9095033
153,East Elmhurst,40.7737505,-73.8713099
154,East Flatbush/Farragut,40.638525099999995,-73.9260253
155,East Flatbush/Remsen Village,40.6468201,-73.9133089
156,East Harlem North,40.7957399,-73.9389213
157,East Harlem South,40.7957399,-73.9389213
158,East New York,40.656831200000006,-73.88307009999998
159,East New York/Pennsylvania Avenue,40.6560923,-73.8886753
160,East Tremont,40.845378100000005,-73.8909693
161,East Village,40.7264773,-73.9815337
162,East Williamsburg,40.715876200000004,-73.9330429
163,Eastchester,40.959560499999995,-73.8095574
164,Elmhurst,41.8994744,-87.9403418
165,Elmhurst/Maspeth,40.737975,-73.8801301
166,Erasmus,35.8870112,-85.18496409999999
167,Financial District North,37.796667600000006,-122.40557709999999
168,Financial District South,37.7911452,-122.39494679999999
169,Flatbush/Ditmas Park,40.6409217,-73.96243270000001
170,Flatiron,40.741060499999996,-73.9896986
171,Flatlands,40.6268432,-73.9330429
172,Flushing,40.767498700000004,-73.833079
173,Fordham South,40.8620404,-73.8856987
174,Forest Hills,40.718106,-73.84484690000001
175,Fort Greene,40.6920638,-73.9741874
176,Fresh Meadows,40.7335179,-73.78014470000001
177,Garment District,42.3658911,-71.09293659999999
178,Gowanus,40.6733364,-73.9903489
179,Gramercy,40.7367783,-73.98447220000001
180,Gravesend,40.5910166,-73.977126
181,Greenpoint,40.7245448,-73.9418603
182,Greenwich Village North,40.7335719,-74.0027418
183,Greenwich Village South,40.7335719,-74.0027418
184,Hamilton Heights,40.8259597,-73.9496079
185,Hillcrest/Pomonok,40.721283,-73.805584
186,Hollis,42.7425166,-71.5895344
187,Hudson Sq,40.726583399999996,-74.00747309999998
188,Hunts Point,40.8120246,-73.8801301
189,Inwood,40.867714500000005,-73.92120190000001
190,Jackson Heights,40.7556818,-73.88307009999998
191,Jamaica,18.109581,-77.297508
192,JFK Airport,40.6413111,-73.77813909999999
193,Kensington,39.025665100000005,-77.07636690000001
194,Kew Gardens Hills,40.73849860000001,-73.81068540000001
195,Kingsbridge Heights,40.872321899999996,-73.9006916
196,Kips Bay,40.7423292,-73.9800645
197,LaGuardia Airport,40.7769271,-73.87396590000002
198,Lenox Hill East,40.7662315,-73.96023120000001
199,Lenox Hill West,40.7662315,-73.96023120000001
200,Lincoln Square East,41.9257597,-87.6549782
201,Lincoln Square West,40.7733055,-73.98145840000001
202,Little Italy/NoLiTa,40.7205544,-73.996656
203,Long Island City/Hunters Point,40.7480338,-73.9506774
204,Long Island City/Queens Plaza,40.7513473,-73.9410795
205,Lower East Side,40.715033,-73.98427240000001
206,Madison,43.07305170000001,-89.4012302
207,Manhattan Valley,40.796989,-73.969707
208,Manhattanville,40.816944299999996,-73.9558333
209,Mariners Harbor,41.9181579,-73.98303829999999
210,Maspeth,40.7294018,-73.9065883
211,Meatpacking/West Village West,40.7409865,-74.0076108
212,Midtown Center,42.7835541,-86.1113196
213,Midtown East,40.7540369,-73.9668408
214,Midtown North,40.7649516,-73.98510390000001
215,Midtown South,40.753823100000005,-73.9950023
216,Midwood,40.619062899999996,-73.9653715
217,Morningside Heights,40.8089564,-73.96243270000001
218,Morrisania/Melrose,40.824545,-73.9104143
219,Mott Haven/Port Morris,40.809106799999995,-73.9228881
220,Mount Hope,40.622934,-81.78613299999999
221,Murray Hill,40.7478792,-73.9756567
222,Murray Hill-Queens,40.7665245,-73.8036752
223,Norwood,42.1943909,-71.19896949999999
224,Ocean Hill,33.1600272,-117.2644629
225,Old Astoria,46.1519015,-123.8579416
226,Park Slope,40.6681038,-73.9805817
227,Parkchester,40.83825220000001,-73.85660870000001
228,Pelham Bay,40.85055560000001,-73.83333329999999
229,Penn Station/Madison Sq West,40.7483605,-73.9907657
230,Prospect-Lefferts Gardens,40.6590448,-73.9506774
231,Prospect Heights,40.6774196,-73.9668408
232,Queens Village,40.7156628,-73.7419017
233,Red Hook,40.677280200000006,-74.00944709999999
234,Rego Park,40.7255722,-73.8624893
235,Richmond Hill,40.6958108,-73.8272029
236,Ridgewood,40.9792645,-74.11653129999999
237,Riverdale/North Riverdale/Fieldston,40.898057,-73.90140179999999
238,Rosedale,33.8534421,-91.0278863
239,Saint Albans,38.3793695,-81.8191658
240,Seaport,37.9378182,-121.3141291
241,Sheepshead Bay,40.5975847,-73.9536163
242,SoHo,40.723301,-74.0029883
243,Soundview/Bruckner,40.8240844,-73.8762153
244,South Jamaica,40.680859399999996,-73.7919103
245,South Ozone Park,40.6764003,-73.81249840000001
246,Springfield Gardens South,40.6626441,-73.7683784
247,Spuyten Duyvil/Kingsbridge,40.87941970000001,-73.9074286
248,Steinway,40.780043799999994,-73.8996985
249,Stuy Town/Peter Cooper Village,40.7316903,-73.97784940000001
250,Stuyvesant Heights,42.3880474,-73.775696
251,Sunnyside,36.732844,-119.7170466
252,Sunset Park West,40.645532,-74.01238509999999
253,Sutton Place/Turtle Bay North,40.757105700000004,-73.96711020000001
254,Times Sq/Theatre District,40.759011,-73.98447220000001
255,TriBeCa/Civic Center,40.716364899999995,-74.0123498
256,Two Bridges/Seward Park,40.7157874,-73.98920109999999
257,UN/Turtle Bay South,40.7488758,-73.96800909999999
258,Union Sq,40.7358633,-73.9910835
259,University Heights/Morris Heights,40.8523957,-73.9135172
260,Upper East Side North,40.7735649,-73.9565551
261,Upper East Side South,40.7735649,-73.9565551
262,Upper West Side North,40.7870106,-73.9753676
263,Upper West Side South,40.7870106,-73.9753676
264,Van Cortlandt Park,40.8979346,-73.88595140000001
265,Van Cortlandt Village,40.8979346,-73.88595140000001
266,Van Nest/Morris Park,40.845044,-73.8598069
267,Washington Heights North,40.84170820000001,-73.9393554
268,Washington Heights South,40.84170820000001,-73.9393554
269,West Chelsea/Hudson Yards,40.752559000000005,-74.002736
270,West Concourse,28.4246526,-81.4695163
271,West Farms/Bronx River,40.8430609,-73.8816001
272,West Village,40.735781,-74.0035709
273,Westchester Village/Unionport,40.833649,-73.85679909999999
274,Whitestone,40.79204489999999,-73.8095574
275,Williamsbridge/Olinville,40.8774767,-73.8664402
276,Williamsburg (North Side),40.7162857,-73.95838979999999
277,Williamsburg (South Side),40.71305,-73.957037
278,Windsor Terrace,40.6539346,-73.9756567
279,Woodlawn/Wakefield,40.895361,-73.862916
280,Woodside,40.7512123,-73.9036487
281,World Trade Center,40.712743100000004,-74.0133795
282,Yorkville East,40.770203,-73.95072990000001
283,Yorkville West,41.641140899999996,-88.4472948
284,Chinatown,37.794137799999994,-122.40779140000001
285,Clinton East,38.7651145,-76.8983059
286,Elmhurst,41.8994744,-87.9403418
287,Garment District,42.3658911,-71.09293659999999
288,Lincoln Square East,41.9257597,-87.6549782
289,Manhattanville,40.816944299999996,-73.9558333
290,Midtown Center,42.7835541,-86.1113196
291,Midtown East,40.7540369,-73.9668408
292,Midtown North,40.7649516,-73.98510390000001
293,Old Astoria,46.1519015,-123.8579416
294,Times Sq/Theatre District,40.759011,-73.98447220000001
295,TriBeCa/Civic Center,40.716364899999995,-74.0123498
296,Union Sq,40.7358633,-73.9910835
297,Upper West Side South,40.7870106,-73.9753676
298,West Village,40.735781,-74.0035709
299,World Trade Center,40.712743100000004,-74.0133795
300,Astoria,40.764357399999994,-73.9234619
301,Battery Park City,40.7115786,-74.0158441
302,Bedford,42.4906231,-71.27600890000001
303,Bloomingdale,41.957528499999995,-88.0809036
304,Canarsie,40.6402325,-73.90605790000001
305,Central Harlem,48.5351455,-108.79122179999999
306,Central Harlem North,40.8142585,-73.9426617
307,Chinatown,37.794137799999994,-122.40779140000001
308,Clinton East,38.7651145,-76.8983059
309,Clinton Hill,40.6893665,-73.9639021
310,Clinton West,41.487875,-81.71094699999999
311,Crown Heights North,35.512170000000005,-97.52914
312,Downtown Brooklyn/MetroTech,40.6931322,-73.986496
313,East Harlem North,40.7957399,-73.9389213
314,East Harlem South,40.7957399,-73.9389213
315,East Village,40.7264773,-73.9815337
316,East Williamsburg,40.715876200000004,-73.9330429
317,Financial District North,37.796667600000006,-122.40557709999999
318,Flatiron,40.741060499999996,-73.9896986
319,Garment District,42.3658911,-71.09293659999999
320,Gramercy,40.7367783,-73.98447220000001
321,Greenpoint,40.7245448,-73.9418603
322,Greenwich Village North,40.7335719,-74.0027418
323,Greenwich Village South,40.7335719,-74.0027418
324,Highbridge,40.8384699,-73.92716440000001
325,Hillcrest/Pomonok,40.721283,-73.805584
326,JFK Airport,40.6413111,-73.77813909999999
327,Kensington,39.025665100000005,-77.07636690000001
328,Lincoln Square West,40.7733055,-73.98145840000001
329,Little Italy/NoLiTa,40.7205544,-73.996656
330,Lower East Side,40.715033,-73.98427240000001
331,Maspeth,40.7294018,-73.9065883
332,Meatpacking/West Village West,40.7409865,-74.0076108
333,Midtown Center,42.7835541,-86.1113196
334,Midtown East,40.7540369,-73.9668408
335,Midtown North,40.7649516,-73.98510390000001
336,Midtown South,40.753823100000005,-73.9950023
337,Morningside Heights,40.8089564,-73.96243270000001
338,Murray Hill,40.7478792,-73.9756567
339,Penn Station/Madison Sq West,40.7483605,-73.9907657
340,Prospect-Lefferts Gardens,40.6590448,-73.9506774
341,South Jamaica,40.680859399999996,-73.7919103
342,South Ozone Park,40.6764003,-73.81249840000001
343,Sutton Place/Turtle Bay North,40.757105700000004,-73.96711020000001
344,Times Sq/Theatre District,40.759011,-73.98447220000001
345,TriBeCa/Civic Center,40.716364899999995,-74.0123498
346,Union Sq,40.7358633,-73.9910835
347,Upper East Side North,40.7735649,-73.9565551
348,Upper East Side South,40.7735649,-73.9565551
349,West Brighton,40.627029799999995,-74.10931409999999
350,West Chelsea/Hudson Yards,40.752559000000005,-74.002736
351,West Concourse,28.4246526,-81.4695163
352,West Village,40.735781,-74.0035709
353,Williamsburg (North Side),40.7162857,-73.95838979999999
354,Williamsburg (South Side),40.71305,-73.957037
355,Woodside,40.7512123,-73.9036487
356,Yorkville East,40.770203,-73.95072990000001
357,Yorkville West,41.641140899999996,-88.4472948
358,Alphabet City,40.725842799999995,-73.9774916
359,Astoria,40.764357399999994,-73.9234619
360,Baisley Park,40.6737751,-73.786025
361,Battery Park City,40.7115786,-74.0158441
362,Bay Ridge,40.6261638,-74.0329499
363,Bedford,42.4906231,-71.27600890000001
364,Bedford Park,41.7641723,-87.78125240000001
365,Bensonhurst West,40.6112691,-73.9976946
366,Bronxdale,40.8506558,-73.86652409999999
367,Brooklyn Heights,40.6960105,-73.9932872
368,Brownsville,25.9017472,-97.4974838
369,Bushwick North,40.6944282,-73.9212858
370,Bushwick South,40.6944282,-73.9212858
371,Cambria Heights,40.692158,-73.7330753
372,Canarsie,40.6402325,-73.90605790000001
373,Central Harlem,48.5351455,-108.79122179999999
374,Central Harlem North,40.8142585,-73.9426617
375,Chinatown,37.794137799999994,-122.40779140000001
376,Clinton East,38.7651145,-76.8983059
377,Clinton Hill,40.6893665,-73.9639021
378,Clinton West,41.487875,-81.71094699999999
379,Crown Heights North,35.512170000000005,-97.52914
380,Crown Heights South,40.6681032,-73.94479940000001
381,Cypress Hills,40.683611799999994,-73.8801301
382,Downtown Brooklyn/MetroTech,40.6931322,-73.986496
383,East Chelsea,42.3180919,-84.02050290000001
384,East Concourse/Concourse Village,40.8461819,-73.9095033
385,East Elmhurst,40.7737505,-73.8713099
386,East Flatbush/Farragut,40.638525099999995,-73.9260253
387,East Flatbush/Remsen Village,40.6468201,-73.9133089
388,East Harlem North,40.7957399,-73.9389213
389,East Harlem South,40.7957399,-73.9389213
390,East New York,40.656831200000006,-73.88307009999998
391,East New York/Pennsylvania Avenue,40.6560923,-73.8886753
392,East Village,40.7264773,-73.9815337
393,East Williamsburg,40.715876200000004,-73.9330429
394,Eastchester,40.959560499999995,-73.8095574
395,Elmhurst,41.8994744,-87.9403418
396,Elmhurst/Maspeth,40.737975,-73.8801301
397,Erasmus,35.8870112,-85.18496409999999
398,Financial District North,37.796667600000006,-122.40557709999999
399,Financial District South,37.7911452,-122.39494679999999
400,Flatbush/Ditmas Park,40.6409217,-73.96243270000001
401,Flatiron,40.741060499999996,-73.9896986
402,Flatlands,40.6268432,-73.9330429
403,Forest Hills,40.718106,-73.84484690000001
404,Garment District,42.3658911,-71.09293659999999
405,Gramercy,40.7367783,-73.98447220000001
406,Gravesend,40.5910166,-73.977126
407,Greenpoint,40.7245448,-73.9418603
408,Greenwich Village North,40.7335719,-74.0027418
409,Greenwich Village South,40.7335719,-74.0027418
410,Hamilton Heights,40.8259597,-73.9496079
411,Homecrest,46.431465,-95.131433
412,Hudson Sq,40.726583399999996,-74.00747309999998
413,Inwood,40.867714500000005,-73.92120190000001
414,Jackson Heights,40.7556818,-73.88307009999998
415,Jamaica,18.109581,-77.297508
416,JFK Airport,40.6413111,-73.77813909999999
417,Kensington,39.025665100000005,-77.07636690000001
418,Kingsbridge Heights,40.872321899999996,-73.9006916
419,Kips Bay,40.7423292,-73.9800645
420,LaGuardia Airport,40.7769271,-73.87396590000002
421,Lenox Hill East,40.7662315,-73.96023120000001
422,Lenox Hill West,40.7662315,-73.96023120000001
423,Lincoln Square East,41.9257597,-87.6549782
424,Little Italy/NoLiTa,40.7205544,-73.996656
425,Lower East Side,40.715033,-73.98427240000001
426,Manhattan Beach,33.884736100000005,-118.41090890000001
427,Manhattanville,40.816944299999996,-73.9558333
428,Maspeth,40.7294018,-73.9065883
429,Meatpacking/West Village West,40.7409865,-74.0076108
430,Middle Village,40.717372,-73.87425
431,Midtown Center,42.7835541,-86.1113196
432,Midtown East,40.7540369,-73.9668408
433,Midtown North,40.7649516,-73.98510390000001
434,Midtown South,40.753823100000005,-73.9950023
435,Midwood,40.619062899999996,-73.9653715
436,Morningside Heights,40.8089564,-73.96243270000001
437,Morrisania/Melrose,40.824545,-73.9104143
438,Mott Haven/Port Morris,40.809106799999995,-73.9228881
439,Murray Hill,40.7478792,-73.9756567
440,Ocean Hill,33.1600272,-117.2644629
441,Ocean Parkway South,40.6130974,-73.9686455
442,Park Slope,40.6681038,-73.9805817
443,Parkchester,40.83825220000001,-73.85660870000001
444,Penn Station/Madison Sq West,40.7483605,-73.9907657
445,Prospect-Lefferts Gardens,40.6590448,-73.9506774
446,Prospect Heights,40.6774196,-73.9668408
447,Rego Park,40.7255722,-73.8624893
448,Ridgewood,40.9792645,-74.11653129999999
449,Riverdale/North Riverdale/Fieldston,40.898057,-73.90140179999999
450,Rosedale,33.8534421,-91.0278863
451,Sheepshead Bay,40.5975847,-73.9536163
452,SoHo,40.723301,-74.0029883
453,South Williamsburg,40.70856920000001,-73.9701967
454,Spuyten Duyvil/Kingsbridge,40.87941970000001,-73.9074286
455,Steinway,40.780043799999994,-73.8996985
456,Stuy Town/Peter Cooper Village,40.7316903,-73.97784940000001
457,Stuyvesant Heights,42.3880474,-73.775696
458,Sunnyside,36.732844,-119.7170466
459,Sunset Park East,40.645532,-74.01238509999999
460,Sunset Park West,40.645532,-74.01238509999999
461,Sutton Place/Turtle Bay North,40.757105700000004,-73.96711020000001
462,Times Sq/Theatre District,40.759011,-73.98447220000001
463,TriBeCa/Civic Center,40.716364899999995,-74.0123498
464,Two Bridges/Seward Park,40.7157874,-73.98920109999999
465,UN/Turtle Bay South,40.7488758,-73.96800909999999
466,Union Sq,40.7358633,-73.9910835
467,University Heights/Morris Heights,40.8523957,-73.9135172
